class,timestamp
sofa,2020-03-15 20:16:47.644554
cat,2020-03-15 20:16:47.644554
person,2020-03-15 20:56:14.602954
chair,2020-03-15 20:56:14.602954
laptop,2020-03-15 20:56:14.602954
chair,2020-03-15 20:56:14.602954
person,2020-03-15 20:56:31.963130
sofa,2020-03-15 20:56:31.963130
chair,2020-03-15 20:56:31.963130
person,2020-03-15 20:56:50.488030
chair,2020-03-15 20:56:50.488030
chair,2020-03-15 20:56:50.488030
cup,2020-03-15 20:56:50.488030
person,2020-03-15 20:59:24.637114
chair,2020-03-15 20:59:24.637114
chair,2020-03-15 20:59:24.637114
person,2020-03-15 20:59:42.860498
chair,2020-03-15 20:59:42.860498
chair,2020-03-15 20:59:42.860498
cup,2020-03-15 20:59:42.860498
person,2020-03-15 21:00:15.698827
chair,2020-03-15 21:00:15.698827
chair,2020-03-15 21:00:15.698827
person,2020-03-15 21:00:42.277902
sofa,2020-03-15 21:00:42.277902
cup,2020-03-15 21:00:42.277902
chair,2020-03-15 21:00:42.277902
person,2020-03-15 21:00:54.637992
sofa,2020-03-15 21:00:54.637992
chair,2020-03-15 21:00:54.637992
person,2020-03-15 21:01:20.520770
sofa,2020-03-15 21:01:20.520770
chair,2020-03-15 21:01:20.520770
cup,2020-03-15 21:01:20.520770
person,2020-03-15 21:01:35.962595
chair,2020-03-15 21:01:35.962595
chair,2020-03-15 21:01:35.962595
person,2020-03-15 21:01:47.754153
sofa,2020-03-15 21:01:47.754153
chair,2020-03-15 21:01:47.754153
cup,2020-03-15 21:01:47.754153
person,2020-03-15 21:02:11.770483
sofa,2020-03-15 21:02:11.770483
chair,2020-03-15 21:02:11.770483
person,2020-03-15 21:02:46.225691
chair,2020-03-15 21:02:46.225691
person,2020-03-15 21:03:10.430649
sofa,2020-03-15 21:03:10.430649
chair,2020-03-15 21:03:10.430649
cup,2020-03-15 21:03:10.430649
person,2020-03-15 21:03:23.210537
sofa,2020-03-15 21:03:23.210537
chair,2020-03-15 21:03:23.210537
person,2020-03-15 21:03:37.308593
sofa,2020-03-15 21:03:37.308593
chair,2020-03-15 21:03:37.308593
person,2020-03-15 21:03:49.392390
chair,2020-03-15 21:03:49.392390
chair,2020-03-15 21:03:49.392390
person,2020-03-15 21:04:03.796154
sofa,2020-03-15 21:04:03.796154
chair,2020-03-15 21:04:03.796154
person,2020-03-15 21:04:24.226808
sofa,2020-03-15 21:04:24.226808
chair,2020-03-15 21:04:24.226808
person,2020-03-15 21:04:36.653456
chair,2020-03-15 21:04:36.653456
chair,2020-03-15 21:04:36.653456
person,2020-03-15 21:04:48.834980
chair,2020-03-15 21:04:48.834980
chair,2020-03-15 21:04:48.834980
person,2020-03-15 21:05:01.991408
chair,2020-03-15 21:05:01.991408
chair,2020-03-15 21:05:01.991408
person,2020-03-15 21:05:14.311409
chair,2020-03-15 21:05:14.311409
chair,2020-03-15 21:05:14.311409
person,2020-03-15 21:05:26.842856
sofa,2020-03-15 21:05:26.842856
chair,2020-03-15 21:05:26.842856
person,2020-03-15 21:05:43.309377
chair,2020-03-15 21:05:43.309377
chair,2020-03-15 21:05:43.309377
person,2020-03-15 21:05:55.551279
chair,2020-03-15 21:05:55.551279
chair,2020-03-15 21:05:55.551279
person,2020-03-15 21:06:07.573764
cup,2020-03-15 21:06:07.573764
sofa,2020-03-15 21:06:07.573764
chair,2020-03-15 21:06:07.573764
person,2020-03-15 21:06:20.566287
chair,2020-03-15 21:06:20.566287
chair,2020-03-15 21:06:20.566287
person,2020-03-15 21:06:37.751883
chair,2020-03-15 21:06:37.751883
chair,2020-03-15 21:06:37.751883
person,2020-03-15 21:07:37.866461
chair,2020-03-15 21:07:37.866461
chair,2020-03-15 21:07:37.866461
person,2020-03-15 21:07:50.264851
person,2020-03-15 21:07:50.264851
sofa,2020-03-15 21:07:50.264851
cup,2020-03-15 21:07:50.264851
person,2020-03-15 21:08:02.761729
sofa,2020-03-15 21:08:02.761729
